l_orderkey	revenue	o_orderdate	o_shippriority
25184	97286.8540	1995-02-28	0
65414	96788.0519	1995-02-10	0
63809	95358.1866	1995-01-03	0
33088	91484.4135	1994-12-24	0
11206	89406.8579	1994-12-29	0
32901	88856.8480	1995-01-11	0
57061	86029.5168	1994-12-01	0
10691	83858.9070	1995-03-14	0
68775	83738.3295	1994-12-18	0
70497	80059.4891	1995-01-04	0
36258	79941.7464	1995-02-10	0
51428	78864.4608	1994-12-14	0
20068	78769.5855	1995-03-01	0
75846	78639.1479	1995-02-19	0
57217	78620.9238	1995-01-22	0
43621	78540.9460	1995-02-13	0
12961	78516.4482	1994-12-13	0
24160	78447.2756	1995-02-02	0
70016	77503.2170	1995-01-28	0
83651	77327.6565	1995-03-13	0
26532	77224.8750	1994-12-08	0
55490	76203.9936	1994-11-17	0
36352	75114.2445	1995-03-10	0
30726	74993.7188	1994-11-26	0
28005	70090.8385	1995-01-24	0
63141	69182.5120	1995-01-12	0
77092	69078.5912	1995-02-19	0
54468	69057.3189	1994-12-15	0
72960	68570.9820	1994-11-26	0
36677	68352.6317	1994-12-24	0
81058	67376.4009	1995-01-24	0
37991	65217.1515	1995-02-22	0
9248	63909.3744	1994-12-24	0
52640	63558.5290	1995-01-02	0
72577	62805.5360	1995-02-05	0
42117	61223.5260	1995-02-19	0
88131	59063.8246	1995-01-24	0
16102	57451.2120	1994-12-14	0
6663	56971.2885	1995-02-03	0
71428	56732.9787	1995-01-13	0
89348	55923.9660	1995-01-07	0
1474	55505.0370	1995-01-09	0
32484	55467.6366	1995-02-05	0
73735	55163.0255	1994-12-17	0
53280	55144.7523	1995-01-09	0
73863	54603.5550	1995-02-22	0
40039	54590.5920	1994-12-14	0
23266	54079.3044	1995-02-17	0
55684	53726.3100	1995-03-10	0
86086	53567.6624	1994-12-11	0
54213	52817.1325	1995-02-04	0
17346	52551.9936	1995-03-08	0
43137	52327.0080	1995-02-27	0
60450	51333.7619	1995-01-10	0
56711	51117.4102	1995-02-07	0
23556	50889.6776	1995-01-10	0
46372	50809.5430	1995-02-27	0
11111	50692.4560	1995-01-18	0
20161	49630.7208	1995-02-22	0
37284	49323.0880	1995-03-14	0
11651	49068.9324	1995-02-23	0
40420	48900.2332	1995-01-11	0
25027	48466.4850	1994-12-17	0
40102	48113.6244	1995-02-04	0
36069	47928.4212	1994-12-06	0
10436	47894.6559	1995-01-03	0
85633	47391.9930	1994-11-20	0
80387	46331.0004	1994-12-03	0
16642	46271.0494	1995-03-03	0
9824	43790.8481	1995-01-23	0
74662	43413.4104	1995-01-21	0
80196	42894.9880	1994-12-24	0
55906	42803.0575	1994-11-27	0
2114	42800.5396	1995-01-16	0
32578	42556.7324	1995-02-06	0
3399	42325.8361	1995-02-28	0
2277	42312.7910	1995-01-02	0
47203	42239.2729	1994-12-19	0
6241	41176.4688	1994-12-30	0
39361	40787.5500	1994-12-14	0
25926	40268.5218	1994-11-21	0
60033	38473.9550	1995-01-24	0
89255	38451.3077	1995-01-14	0
6403	35950.2663	1995-02-12	0
68994	35519.9040	1995-01-15	0
52482	35149.9699	1995-02-01	0
21061	34923.4823	1994-12-22	0
10213	33994.0944	1995-02-18	0
36355	33832.3500	1994-12-03	0
16837	32562.7824	1995-01-22	0
38784	31641.3400	1995-02-04	0
68166	31609.1160	1995-01-09	0
58880	31177.3900	1995-01-08	0
19521	29515.9800	1994-11-24	0
13479	28591.0776	1994-12-05	0
26049	28230.4800	1995-03-01	0
89313	28127.0016	1995-01-24	0
25572	26740.0800	1995-01-23	0
81477	26506.3680	1995-01-08	0
5825	26420.8590	1995-02-21	0
66434	25417.9000	1995-01-10	0
80037	24522.4260	1995-01-21	0
5031	24266.0250	1994-12-02	0
86370	23704.8444	1994-12-06	0
68963	23645.8300	1994-12-03	0
73473	23511.3120	1995-01-24	0
84711	22729.2624	1994-12-29	0
81572	22589.7536	1995-03-10	0
82503	22118.0176	1994-12-14	0
17891	22034.2668	1995-01-07	0
44198	21111.6360	1995-01-05	0
11718	21002.8000	1994-12-19	0
25441	20049.1200	1995-01-10	0
82851	19972.1360	1994-12-22	0
4006	18003.4690	1995-01-04	0
50693	17936.7600	1995-01-17	0
14052	16550.2752	1995-02-07	0
12224	16534.6588	1994-12-13	0
56608	16295.7312	1994-11-19	0
998	15891.3090	1994-11-26	0
34368	15656.0586	1995-01-08	0
30534	15611.5200	1995-02-10	0
84870	15564.3669	1995-01-21	0
7426	15226.6500	1995-01-17	0
17668	14625.8580	1994-11-26	0
43975	13676.6520	1995-01-05	0
35264	13056.6744	1995-03-14	0
48899	12840.1008	1995-01-19	0
35364	12837.6794	1994-12-13	0
18023	12073.7496	1995-02-25	0
36416	11724.9960	1994-12-01	0
67744	11622.5945	1994-11-26	0
9699	11208.0600	1995-03-12	0
52103	10534.2000	1994-12-24	0
40835	8905.7856	1994-11-25	0
36992	8762.7472	1994-12-08	0
46113	8253.0524	1994-12-03	0
24934	8164.2624	1995-01-31	0
74241	7979.5648	1994-12-10	0
26180	7932.6540	1994-12-06	0
85190	7456.7101	1995-02-07	0
87456	6857.7792	1995-02-07	0
45189	6457.3870	1994-12-12	0
28195	5336.8236	1994-12-21	0
5985	4654.1376	1995-01-12	0
62980	3486.7816	1994-12-21	0
64038	2872.2420	1994-12-28	0
24096	2234.8704	1995-03-01	0
70148	1796.8716	1995-01-28	0
