nation	o_year	sum_profit
JAPAN	1995	737230.4288
JAPAN	1994	616166.4891
JAPAN	1993	738308.0385
JAPAN	1992	382288.4000
JORDAN	1998	90745.4368
JORDAN	1997	150717.5490
JORDAN	1996	12612.2944
JORDAN	1995	37843.4166
JORDAN	1994	131752.4520
JORDAN	1993	77534.5646
JORDAN	1992	80629.2948
KENYA	1998	203199.4709
KENYA	1997	751796.0864
KENYA	1996	767216.4738
KENYA	1995	652915.2810
KENYA	1994	624035.8341
KENYA	1993	833813.8272
KENYA	1992	959602.6888
MOROCCO	1998	372846.0956
MOROCCO	1997	472933.0961
MOROCCO	1996	463617.8646
MOROCCO	1995	633895.0987
MOROCCO	1994	405122.5222
MOROCCO	1993	571184.5208
MOROCCO	1992	494703.4374
MOZAMBIQUE	1998	616115.7577
MOZAMBIQUE	1997	1136365.5716
MOZAMBIQUE	1996	1129592.0551
MOZAMBIQUE	1995	920407.6607
MOZAMBIQUE	1994	854106.7316
MOZAMBIQUE	1993	936062.4773
MOZAMBIQUE	1992	887545.7928
PERU	1998	111695.8582
PERU	1997	444686.8609
PERU	1996	503871.1293
PERU	1995	320718.9852
PERU	1994	290876.8038
PERU	1993	122234.9975
PERU	1992	218040.3172
ROMANIA	1998	738506.4338
ROMANIA	1997	930033.7399
ROMANIA	1996	816017.7700
ROMANIA	1995	910489.2000
ROMANIA	1994	1120682.4185
ROMANIA	1993	854870.5512
ROMANIA	1992	1025205.9164
RUSSIA	1998	499038.4989
RUSSIA	1997	1454737.2815
RUSSIA	1996	818990.3619
RUSSIA	1995	1143292.4520
RUSSIA	1994	1228655.8738
RUSSIA	1993	1269797.8809
RUSSIA	1992	1418787.4369
SAUDI ARABIA	1998	311313.8941
SAUDI ARABIA	1997	444041.6091
SAUDI ARABIA	1996	306369.3420
SAUDI ARABIA	1995	288428.1229
SAUDI ARABIA	1994	213911.2602
SAUDI ARABIA	1993	355994.2351
SAUDI ARABIA	1992	409650.0080
UNITED KINGDOM	1998	440359.9679
UNITED KINGDOM	1997	782712.9344
UNITED KINGDOM	1996	659565.3946
UNITED KINGDOM	1995	643589.9941
UNITED KINGDOM	1994	554144.4147
UNITED KINGDOM	1993	485022.9468
UNITED KINGDOM	1992	977642.7804
UNITED STATES	1998	754054.6626
UNITED STATES	1997	1026000.1280
UNITED STATES	1996	939034.4602
UNITED STATES	1995	804216.7971
UNITED STATES	1994	903715.0911
UNITED STATES	1993	691966.4360
UNITED STATES	1992	1000860.4598
VIETNAM	1998	465565.6388
VIETNAM	1997	898105.3596
VIETNAM	1996	838259.7802
VIETNAM	1995	1083596.6746
VIETNAM	1994	658054.0333
VIETNAM	1993	595321.7475
VIETNAM	1992	810754.8773
